sample	TCGA-ZS-A9CG-01
ARHGEF10L	10.1378
HIF3A	7.066
RNF17	0.0
RNF10	12.0387
RNF11	11.1221
RNF13	10.1665
GTF2IP1	12.2077
REM1	2.5357
MTVR2	0.0
RTN4RL2	8.0269
C16orf13	9.7516
C16orf11	0.0
FGFR1OP2	8.4224
TSKS	0.0
ATRX	10.279
PMM2	10.3617
LOC100272146	3.8788
ASS1	14.1961
NCBP1	9.1986
ZNF709	4.384
ZNF708	4.9618
RBM14	9.8279
NCBP2	9.8089
DISC1	7.2974
CAMK1	9.0883
RPL37	14.0021
SPR	11.0395
ZNF700	7.1998
ZNF707	8.108
CAMK4	1.6119
ZNF704	7.3709
LOC339240	3.8099
GOLGA6B	7.138
RNF115	8.6138
RNF112	4.0675
ZC3H14	9.3477
SPN	5.6143
HMGCLL1	1.2455
NACAP1	6.6885
LRRTM1	7.1096
GRIN1	0.0
RBMY1A3P	0.0
DHX8	9.5193
DHX9	10.9908
LOC441204	4.8289
TCOF1	9.0579
LRRTM3	0.0
NUP98	10.2573
XPC	10.5081
SLC12A2	7.2396
GRINA	14.4307
LRRTM2	2.1465
NUP93	8.0494
HAP1	1.9038
KLRA1	2.1465
CAMKV	0.0
SPPL3	9.3325
GOLIM4	10.5868
ZNF646	8.2959
OPA3	9.0504
OPA1	10.5784
RHEB	9.991
RAB40C	8.8635
RAB40B	8.2896
RAB40A	1.6119
COL7A1	12.052
MDP1	7.3852
GTSE1	2.6969
FAM183A	0.0
ARFRP1	10.0777
OVCH1	0.7532
FAM183B	0.0
PSAP	15.0896
KIAA0831	9.1356
SPPL2A	11.0848
SLC46A1	10.2518
TGFBR2	12.3067
ITGA8	2.5357
ITGA9	4.7936
STK40	10.3878
MYO3B	5.0239
ATP2A1	2.8419
ATP2A2	12.1033
ATP2A3	5.7491
ITGA1	10.0093
ITGA2	9.5813
ITGA3	6.1758
ITGA4	5.7556
ITGA5	10.5257
ITGA6	11.2935
ITGA7	9.4058
TRHR	0.0
LOC100132288	8.2801
DENND4A	9.6499
DENND4B	9.225
DENND4C	9.5644
SWAP70	9.184
RARRES1	10.8938
LOC100132287	7.7927
PHLDA3	8.0569
PHLDA2	4.8289
TACO1	10.9946
PMM1	11.1367
GAP43	0.7532
NENF	10.8607
SQLE	11.3088
MRPL28	10.9277
LOC100289341	5.0834
FBXL13	0.0
FBXL12	8.4734
FBXL15	8.9914
CYP27B1	3.3091
FBXL17	9.239
FBXL16	1.6119
FAM169A	10.6922
FAM116B	7.1519
FAM116A	8.7114
FAM169B	0.0
RALGAPA2	8.5009
GHDC	10.502
H19	12.003
SDK2	5.9703
GRP	0.0
TPRN	9.3852
THSD4	8.2705
KIAA0895L	6.9416
CHST9	6.8081
CHST8	0.7532
COL4A5	10.181
COL4A4	4.4307
COL4A3	2.5357
COL4A2	11.8874
COL4A1	11.8905
SLC35D2	10.1228
CHST1	4.0073
ZNF879	3.5811
CHST3	5.8554
CHST2	6.6198
CHST5	0.0
CHST4	0.0
CHST7	5.9545
CHST6	2.1465
ITGAX	7.0807
OR8J1	0.0
SNORD115-17	0.0
BCL2A1	4.5196
GPSM2	4.5771
HLCS	9.5112
NOG	0.0
LIPG	9.292
ITGAV	9.9793
HIBCH	12.3182
ZNF703	6.998
ITGAL	8.9797
ITGAM	6.0767
LOC286359	0.0
HLF	13.4903
NOV	6.0321
FAM134C	10.9746
FAM134B	7.6325
FAM134A	11.9164
SERPING1	16.2188
SMAD9	2.3542
TRERF1	3.8788
LOC653501	7.1519
LRPAP1	12.1947
LQK1	6.0321
SMAD6	7.272
SMAD7	7.3285
GOLPH3L	9.5193
SMAD1	9.5928
AFTPH	9.303
SMAD3	10.4178
MUS81	9.1125
AMMECR1L	8.8929
IL1RAPL1	5.3731
TMPRSS11B	0.0
IGF2R	11.6557
TMPRSS11D	0.0
TMPRSS11F	0.0
ZC3H10	7.6225
RAD21L1	0.0
IL1RAPL2	5.1956
SLC36A3	0.0
CKS1B	9.6616
